	"Year"	"Year Code"	"State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2021"	"2021"	"Washington"	"53"	68689	7738692	887.60
	"2021"	"2021"	"West Virginia"	"54"	29503	1782959	1654.72
	"2021"	"2021"	"Wisconsin"	"55"	60973	5895908	1034.16
	"2021"	"2021"	"Wyoming"	"56"	6582	578803	1137.17
	"2022 (provisional)"	"2022"	"Alabama"	"01"	62293	5074296	1227.62
	"2022 (provisional)"	"2022"	"Alaska"	"02"	5719	733583	779.60
	"2022 (provisional)"	"2022"	"Arizona"	"04"	74082	7359197	1006.66
	"2022 (provisional)"	"2022"	"Arkansas"	"05"	37855	3045637	1242.93
	"2022 (provisional)"	"2022"	"California"	"06"	313165	39029342	802.38
	"2022 (provisional)"	"2022"	"Colorado"	"08"	46787	5839926	801.16
	"2022 (provisional)"	"2022"	"Connecticut"	"09"	34583	3626205	953.70
	"2022 (provisional)"	"2022"	"Delaware"	"10"	11351	1018396	1114.60
	"2022 (provisional)"	"2022"	"District of Columbia"	"11"	5385	671803	801.57
	"2022 (provisional)"	"2022"	"Florida"	"12"	239118	22244823	1074.94
	"2022 (provisional)"	"2022"	"Georgia"	"13"	102340	10912876	937.79
	"2022 (provisional)"	"2022"	"Hawaii"	"15"	13228	1440196	918.49
	"2022 (provisional)"	"2022"	"Idaho"	"16"	17162	1939033	885.08
	"2022 (provisional)"	"2022"	"Illinois"	"17"	122963	12582032	977.29
	"2022 (provisional)"	"2022"	"Indiana"	"18"	75368	6833037	1102.99
	"2022 (provisional)"	"2022"	"Iowa"	"19"	33973	3200517	1061.48
	"2022 (provisional)"	"2022"	"Kansas"	"20"	31551	2937150	1074.20
	"2022 (provisional)"	"2022"	"Kentucky"	"21"	57053	4512310	1264.39
	"2022 (provisional)"	"2022"	"Louisiana"	"22"	52339	4590241	1140.22
	"2022 (provisional)"	"2022"	"Maine"	"23"	17364	1385340	1253.41
	"2022 (provisional)"	"2022"	"Maryland"	"24"	56456	6164660	915.80
	"2022 (provisional)"	"2022"	"Massachusetts"	"25"	63366	6981974	907.57
	"2022 (provisional)"	"2022"	"Michigan"	"26"	110499	10034113	1101.23
	"2022 (provisional)"	"2022"	"Minnesota"	"27"	51222	5717184	895.93
	"2022 (provisional)"	"2022"	"Mississippi"	"28"	37803	2940057	1285.79
	"2022 (provisional)"	"2022"	"Missouri"	"29"	71851	6177957	1163.02
	"2022 (provisional)"	"2022"	"Montana"	"30"	11684	1122867	1040.55
	"2022 (provisional)"	"2022"	"Nebraska"	"31"	18615	1967923	945.92
	"2022 (provisional)"	"2022"	"Nevada"	"32"	30960	3177772	974.27
	"2022 (provisional)"	"2022"	"New Hampshire"	"33"	14515	1395231	1040.33
	"2022 (provisional)"	"2022"	"New Jersey"	"34"	81489	9261699	879.85
	"2022 (provisional)"	"2022"	"New Mexico"	"35"	23655	2113344	1119.32
	"2022 (provisional)"	"2022"	"New York"	"36"	173944	19677151	883.99
	"2022 (provisional)"	"2022"	"North Carolina"	"37"	112609	10698973	1052.52
	"2022 (provisional)"	"2022"	"North Dakota"	"38"	7041	779261	903.55
	"2022 (provisional)"	"2022"	"Ohio"	"39"	138209	11756058	1175.64
	"2022 (provisional)"	"2022"	"Oklahoma"	"40"	47976	4019800	1193.49
	"2022 (provisional)"	"2022"	"Oregon"	"41"	44598	4240137	1051.81
	"2022 (provisional)"	"2022"	"Pennsylvania"	"42"	147180	12972008	1134.60
	"2022 (provisional)"	"2022"	"Rhode Island"	"44"	10704	1093734	978.67
	"2022 (provisional)"	"2022"	"South Carolina"	"45"	61047	5282634	1155.62
	"2022 (provisional)"	"2022"	"South Dakota"	"46"	9016	909824	990.96
	"2022 (provisional)"	"2022"	"Tennessee"	"47"	84989	7051339	1205.29
	"2022 (provisional)"	"2022"	"Texas"	"48"	241441	30029572	804.01
	"2022 (provisional)"	"2022"	"Utah"	"49"	21886	3380800	647.36
	"2022 (provisional)"	"2022"	"Vermont"	"50"	6971	647064	1077.33
	"2022 (provisional)"	"2022"	"Virginia"	"51"	82930	8683619	955.02
	"2022 (provisional)"	"2022"	"Washington"	"53"	69194	7785786	888.72
	"2022 (provisional)"	"2022"	"West Virginia"	"54"	27506	1775156	1549.50
	"2022 (provisional)"	"2022"	"Wisconsin"	"55"	60588	5892539	1028.22
	"2022 (provisional)"	"2022"	"Wyoming"	"56"	5905	581381	1015.69
	"2023 (provisional)"	"2023"	"Alabama"	"01"	59034	5074296	1163.39
	"2023 (provisional)"	"2023"	"Alaska"	"02"	5475	733583	746.34
	"2023 (provisional)"	"2023"	"Arizona"	"04"	69308	7359197	941.79
	"2023 (provisional)"	"2023"	"Arkansas"	"05"	35722	3045637	1172.89
	"2023 (provisional)"	"2023"	"California"	"06"	294284	39029342	754.01
	"2023 (provisional)"	"2023"	"Colorado"	"08"	44929	5839926	769.34
	"2023 (provisional)"	"2023"	"Connecticut"	"09"	32501	3626205	896.28
	"2023 (provisional)"	"2023"	"Delaware"	"10"	10614	1018396	1042.23
	"2023 (provisional)"	"2023"	"District of Columbia"	"11"	4909	671803	730.72
	"2023 (provisional)"	"2023"	"Florida"	"12"	228788	22244823	1028.50
	"2023 (provisional)"	"2023"	"Georgia"	"13"	95850	10912876	878.32
	"2023 (provisional)"	"2023"	"Hawaii"	"15"	12612	1440196	875.71
	"2023 (provisional)"	"2023"	"Idaho"	"16"	16471	1939033	849.44
	"2023 (provisional)"	"2023"	"Illinois"	"17"	113675	12582032	903.47
	"2023 (provisional)"	"2023"	"Indiana"	"18"	69817	6833037	1021.76
	"2023 (provisional)"	"2023"	"Iowa"	"19"	32506	3200517	1015.65
	"2023 (provisional)"	"2023"	"Kansas"	"20"	29231	2937150	995.22
	"2023 (provisional)"	"2023"	"Kentucky"	"21"	52925	4512310	1172.90
	"2023 (provisional)"	"2023"	"Louisiana"	"22"	49083	4590241	1069.29
	"2023 (provisional)"	"2023"	"Maine"	"23"	16745	1385340	1208.73
	"2023 (provisional)"	"2023"	"Maryland"	"24"	53371	6164660	865.76
	"2023 (provisional)"	"2023"	"Massachusetts"	"25"	61123	6981974	875.44
	"2023 (provisional)"	"2023"	"Michigan"	"26"	103187	10034113	1028.36
	"2023 (provisional)"	"2023"	"Minnesota"	"27"	49149	5717184	859.67
	"2023 (provisional)"	"2023"	"Mississippi"	"28"	34962	2940057	1189.16
	"2023 (provisional)"	"2023"	"Missouri"	"29"	66267	6177957	1072.64
	"2023 (provisional)"	"2023"	"Montana"	"30"	11192	1122867	996.73
	"2023 (provisional)"	"2023"	"Nebraska"	"31"	18298	1967923	929.81
	"2023 (provisional)"	"2023"	"Nevada"	"32"	28476	3177772	896.10
	"2023 (provisional)"	"2023"	"New Hampshire"	"33"	14146	1395231	1013.88
	"2023 (provisional)"	"2023"	"New Jersey"	"34"	75195	9261699	811.89
	"2023 (provisional)"	"2023"	"New Mexico"	"35"	22198	2113344	1050.37
	"2023 (provisional)"	"2023"	"New York"	"36"	162077	19677151	823.68
	"2023 (provisional)"	"2023"	"North Carolina"	"37"	107655	10698973	1006.22
	"2023 (provisional)"	"2023"	"North Dakota"	"38"	6829	779261	876.34
	"2023 (provisional)"	"2023"	"Ohio"	"39"	127734	11756058	1086.54
	"2023 (provisional)"	"2023"	"Oklahoma"	"40"	44071	4019800	1096.35
	"2023 (provisional)"	"2023"	"Oregon"	"41"	42418	4240137	1000.39
	"2023 (provisional)"	"2023"	"Pennsylvania"	"42"	137945	12972008	1063.41
	"2023 (provisional)"	"2023"	"Rhode Island"	"44"	10420	1093734	952.70
	"2023 (provisional)"	"2023"	"South Carolina"	"45"	57982	5282634	1097.60
	"2023 (provisional)"	"2023"	"South Dakota"	"46"	8544	909824	939.08
	"2023 (provisional)"	"2023"	"Tennessee"	"47"	79510	7051339	1127.59
	"2023 (provisional)"	"2023"	"Texas"	"48"	228657	30029572	761.44
	"2023 (provisional)"	"2023"	"Utah"	"49"	21261	3380800	628.87
	"2023 (provisional)"	"2023"	"Vermont"	"50"	6762	647064	1045.03
	"2023 (provisional)"	"2023"	"Virginia"	"51"	78128	8683619	899.72
	"2023 (provisional)"	"2023"	"Washington"	"53"	65893	7785786	846.32
	"2023 (provisional)"	"2023"	"West Virginia"	"54"	24630	1775156	1387.48
	"2023 (provisional)"	"2023"	"Wisconsin"	"55"	57478	5892539	975.44
	"2023 (provisional)"	"2023"	"Wyoming"	"56"	5584	581381	960.47
